artist,sale_year,sale_location,sale_price_adj,low_est_adj,high_est_adj,performance
Wim Delvoye,2006,London,164881.01104166667,82913.52169642858,106603.64281250001,1.9885901316007284
Yang Shaobin,2006,London,113710.29870535714,94759.21632440477,142138.19041666668,1.199991970217167
Maurizio Cattelan,2006,London,108025.22761904763,47378.97409226191,71069.09520833334,2.2800246241273174
Hiroshi Sugimoto,2006,London,170566.08212797617,47378.97409226191,71069.09520833334,3.600037471470561
Ryan Sullivan,2013,London,175573.30102980378,71298.66875002683,106948.00312504025,2.462504617312545
Adam McEwen,2013,London,158460.87426864187,124772.67031254695,178246.6718750671,1.2699966575934323
Tauba Auerbach,2013,London,892127.7753190503,445617.7771305434,623865.5464484863,2.0020022114999287
Dan Colen,2013,London,389470.40472276,285194.6750001073,392143.7755680233,1.3656300024148667
Mark Grotjahn,2013,London,1073940.0390973443,891236.6517039626,1247731.0928969726,1.2049998583788264
Sterling Ruby,2013,London,1073940.0390973443,891236.6517039626,1247731.0928969726,1.2049998583788264
Christopher Wool,2013,London,1929527.3564262933,1782473.3034079252,2673709.955111888,1.0825000030723542
Nate Lowman,2013,London,0.0,178246.6718750671,267370.00781260064,0.0
Thomas Schütte,2013,London,1116719.4598359354,623865.5464484863,802112.2183235533,1.7900002110634987
Gerhard Richter,2013,London,4339430.700743056,4456183.2585198125,6238656.561927738,0.9737998751368059
Anselm Kiefer,2013,London,0.0,1069483.3235790296,1425977.7647720396,0.0
Richard Prince,2013,London,0.0,534741.1130680769,891236.6517039626,0.0
Jean-Michel Basquiat,2013,London,3341246.045914053,5347419.910223776,7129893.213631701,0.6248333031635779
Andy Warhol,2013,London,196962.46267766156,178246.6718750671,267370.00781260064,1.104999384250284
Maurizio Cattelan,2013,London,475028.14875706675,534741.1130680769,891236.6517039626,0.8883329468024437
Richard Prince,2013,London,293215.8849787729,356494.4411930099,534741.1130680769,0.822497775811875
Komar and Melamid,2013,London,988381.1976201617,356494.4411930099,534741.1130680769,2.7725010081077714
Ed Ruscha,2013,London,432248.7280184755,267370.00781260064,445617.7771305434,1.6166687188986115
Yan Pei-Ming,2013,London,261132.14250698627,231720.67343758722,356494.4411930099,1.1269263921160304
Chris Ofili,2013,London,0.0,267370.00781260064,445617.7771305434,0.0
David Hockney,2013,London,603366.4109728406,445617.7771305434,623865.5464484863,1.3539998669813946
Andy Warhol,2013,London,346690.9839841688,178246.6718750671,267370.00781260064,1.9450067724558362
Keith Haring,2013,London,646145.8317114317,267370.00781260064,445617.7771305434,2.4166728234535113
Alexander Calder,2013,London,368080.14563202654,320845.1068179965,392143.7755680233,1.147220692473744
Sigmar Polke,2013,London,410859.5663706178,356494.4411930099,534741.1130680769,1.1524992226643136
Peter Fischli and David Weiss,2013,London,1073940.0390973443,1069483.3235790296,1425977.7647720396,1.0041671669020125
Albert Oehlen,2013,London,432248.7280184755,356494.4411930099,534741.1130680769,1.2124978065852265
Albert Oehlen,2013,London,218352.72176839504,178246.6718750671,267370.00781260064,1.2250030783698906
Mary Heilmann,2013,London,77983.19330606078,71298.66875002683,106948.00312504025,1.0937538478948654
Anselm Reyle,2013,London,77983.19330606078,71298.66875002683,106948.00312504025,1.0937538478948654
Liza Lou,2013,London,0.0,445617.7771305434,623865.5464484863,0.0
Jacob Kassay,2013,London,282521.304154844,124772.67031254695,160422.00468756037,2.264288352765912
Thomas Struth,2013,London,239741.8834162528,267370.00781260064,445617.7771305434,0.8966670770916121
Ged Quinn,2013,London,0.0,106948.00312504025,142597.33750005366,0.0
Marc Quinn,2013,London,239741.8834162528,178246.6718750671,267370.00781260064,1.3450006156122658
Farhad Moshiri,2013,London,389470.40472276,267370.00781260064,356494.4411930099,1.4566720025724527
Rashid Johnson,2013,London,218352.72176839504,106948.00312504025,142597.33750005366,2.04167179720679
Oscar Murillo,2013,London,389470.40472276,71298.66875002683,106948.00312504025,5.462520009084858
Katja Strunz,2007,London,48314.687270307026,25163.488613016172,37746.46594033047,1.9200313594878595
Anselm Reyle,2007,London,362366.31963133375,75492.93188066094,100656.42049367711,4.800003265950269
"Zaha Hadid with Patrick Schumacher, Charles Walker and Daniel Dendra",2007,London,783113.7083948258,251642.284254999,377464.6594033046,3.1120116028280282
Mark Grotjahn,2007,London,664338.0471539774,251642.284254999,377464.6594033046,2.6400096036895677
Future Systems - Amanda Levete,2007,London,271773.81495789567,201314.07400816045,301971.72752264375,1.349999081203727
Tracey Emin,2007,London,90591.27165263188,75492.93188066094,100656.42049367711,1.1999967332549542
Jim Hodges,2007,London,895850.033726886,754929.3188066093,1006572.8360824145,1.1866674288543693
Tom Friedman,2007,London,90591.27165263188,150985.86376132187,176149.35237433805,0.5999983666672158
Johannes Kahrs,2007,London,452957.5912839656,377464.6594033046,503285.80153080414,1.1999999999682092
Tim Noble and Sue Webster,2007,London,0.0,629108.1766791099,880751.693954915,0.0
Richard Prince,2007,London,1064953.905214573,1006572.8360824145,1509859.8706340247,1.0579998456433595
Jake and Dinos Chapman,2007,London,0.0,201314.07400816045,301971.72752264375,0.0
Jonathan Meese,2007,London,120787.95119657378,125821.1421274995,176149.35237433805,0.9599972559824218
